"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","work>20hrsWk","report2sameSupervisor","trust_1","trust_2","trust_3","trust_4","trust_5","Empathy_1","Empathy_2","Empathy_3","Empathy_4","Empathy_5","Empathy_6","Empathy_7","Empathy_8","Empathy_9","Empathy_10","Empathy_11","Empathy_12","Empathy_13","Empathy_14","Empathy_15","PAIR_1","PAIR_2","PAIR_3","PAIR_4","PAIR_5","PAIR_6","PAIR_7","PAIR_8","PAIR_9","PAIR_10","PAIR_11","PAIR_12","PAIR_13","PAIR_14","PAIR_15","support_1","support_2","support_3","support_4","support_5","support_6","Communal_Strength_1","Communal_Strength_2","Communal_Strength_3","Communal_Strength_4","Communal_Strength_5","Communal_Strength_6","Communal_Strength_7","Communal_Strength_8","Communal_Strength_9","Communal_Strength_10","Listening_Styles_1","Listening_Styles_2","Listening_Styles_3","Listening_Styles_4","Listening_Styles_5","Listening_Styles_6","Listening_Styles_7","Listening_Styles_8","Listening_Styles_9","Listening_Styles_10","Listening_Styles_11","Listening_Styles_12","Listening_Styles_13","Listening_Styles_14","Listening_Styles_15","Listening_Styles_16","Listening_Styles_17","Listening_Styles_18","Listening_Styles_19","Listening_Styles_20","Listening_Styles_21","Listening_Styles_22","Listening_Styles_23","Listening_Styles_24","perspective_taking_1","perspective_taking_2","perspective_taking_3","perspective_taking_4","perspective_taking_5","perspective_taking_6","perspective_taking_7","perspective_taking_8","perspective_taking_9","perspective_taking_10","perspective_taking_11","perspective_taking_12","perspective_taking_13","perspective_taking_14","perspective_taking_15","perspective_taking_16","perspective_taking_17","perspective_taking_18","perspective_taking_19","perspective_taking_20","ActiveEmpathicListe_1","ActiveEmpathicListe_2","ActiveEmpathicListe_3","ActiveEmpathicListe_4","ActiveEmpathicListe_5","ActiveEmpathicListe_6","ActiveEmpathicListe_7","ActiveEmpathicListe_8","ActiveEmpathicListe_9","ActiveEmpathicListe_10","ActiveEmpathicListe_11","responsivness_1","responsivness_2","responsivness_3","responsivness_4","responsivness_5","responsivness_6","responsivness_7","responsivness_8","responsivness_9","responsivness_10","responsivness_11","responsivness_12","responsivness_13","responsivness_14","responsivness_15","responsivness_16","responsivness_17","responsivness_18","intimacy_1","intimacy_2","intimacy_3","intimacy_4","intimacy_5","intimacy_6","intimacy_7","intimacy_8","Rudeness_1","Rudeness_2","Rudeness_3","Rudeness_4","Rudeness_5","Rudeness_6","JDI_1","JDI_2","JDI_3","JDI_4","JDI_5","JDI_6","JDI_7","JDI_8","JDI_9","JDI_10","JDI_11","JDI_12","JDI_13","JDI_14","JDI_15","JDI_16","JDI_17","JDI_18","SWMSS_1","SWMSS_2","SWMSS_3","SWMSS_4","SWMSS_5","SWMSS_6","SWMSS_7","SWMSS_8","SWMSS_9","SWMSS_10","SWMSS_11","SWMSS_12","SWMSS_13","SWMSS_14","SWMSS_15","Incivility_1","Incivility_2","Incivility_3","Incivility_4","Incivility_5","Incivility_6","Incivility_7","Respect_1","Respect_2","Respect_3","Respect_4","Respect_5","Respect_6","Respect_7","Respect_8","Respect_9","Respect_10","Respect_11","Respect_12","Respect_13","Respect_14","Respect_15","Respect_16","Respect_17","Respect_18","Respect_19","Respect_20","PRI_1","PRI_2","PRI_3","PRI_4","PRI_5","PRI_6","PRI_7","PRI_8","PRI_9","PRI_10","PRI_11","PRI_12","PRI_13","PRI_14","PRI_15","PRI_16","Autonomy_Support_1","Autonomy_Support_2","Autonomy_Support_3","Autonomy_Support_4","Autonomy_Support_5","Autonomy_Support_6","Autonomy_Support_7","Autonomy_Support_8","Autonomy_Support_9","Autonomy_Support_10","Autonomy_Support_11","Autonomy_Support_12","Autonomy_Support_13","Autonomy_Support_14","Autonomy_Support_15","Autonomy_Support_16","Autonomy_Support_17","Autonomy_Support_18","Autonomy_Support_19","Autonomy_Support_20","Autonomy_Support_21","Humility_1","Humility_2","Humility_3","Humility_4","Humility_5","Humility_6","Humility_7","Humility_8","Humility_9","Listening_1","Listening_2","Listening_3","Listening_4","Listening_5","FLS_1","FLS_2","FLS_3","FLS_4","FLS_5","FLS_6","FLS_7","FLS_8","FLS_9","FLS_10","FLS_11","FLS_12","FLS_13","FLS_14","FLS_15","FLS_16","FLS_17","FLS_18","FLS_19","FLS_20","Age","gender","supervisorGender","yearsWithBoss","occupation","yearsProfessionalExperience","tenure","SWL_1","SWL_2","SWL_3","SWL_4","SWL_5","credit","id","SC0","Source","Hebrew/English","ID","consent"
"128",2019-04-24 09:48:56,2019-04-24 12:22:13,0,6,9197,0,2019-05-01 12:22:38,"R_2CW0iny6oqJjdK4","anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA
"129",2019-05-02 01:38:06,2019-05-02 02:14:32,0,100,2186,1,2019-05-02 02:14:33,"R_25Ghd1s8LNZAlbu","anonymous","EN",1,1,5,10,7,10,5,1,9,6,6,6,4,1,1,6,4,6,3,1,1,9,9,9,10,3,9,11,5,7,2,3,9,9,9,9,3,10,9,9,9,3,9,1,6,6,6,6,7,6,6,7,6,6,7,9,6,6,6,10,10,10,10,10,10,2,3,2,2,6,10,7,9,2,9,9,6,9,2,10,5,7,6,1,6,9,5,7,5,7,6,1,6,10,2,10,6,6,9,10,6,10,10,11,10,11,11,10,10,9,3,10,9,9,5,5,9,10,10,6,9,9,5,1,10,10,9,1,10,5,10,11,10,5,11,10,11,5,3,1,9,1,1,9,11,11,11,1,1,9,1,1,11,1,11,2,10,1,9,9,11,10,9,9,10,10,9,10,10,8,7,7,11,1,2,1,1,2,2,1,11,2,10,9,1,2,2,1,10,2,10,9,1,10,1,1,9,2,10,2,10,9,10,9,9,10,9,9,3,2,3,2,2,2,3,1,11,10,11,1,1,11,10,10,1,1,1,11,1,1,1,10,11,1,1,1,1,5,10,10,10,9,9,10,10,10,9,9,10,10,9,10,10,10,9,10,10,10,9,10,10,1,2,1,2,2,2,1,1,1,1,44,2,1,2.5,17,28,2,2,2,2,5,2,NA,NA,1646,"USA",NA,NA,NA
"130",2019-05-02 03:11:32,2019-05-02 04:04:38,0,100,3186,1,2019-05-02 04:04:39,"R_2djdeUD1SOrUgjR","anonymous","EN",1,1,2,9,2,7,3,9,3,10,2,6,6,1,2,3,1,1,8,3,1,10,6,3,10,9,1,11,10,9,1,1,10,1,11,1,3,6,10,8,10,1,10,6,6,6,9,7,6,4,6,6,2,6,9,6,6,3,6,6,6,6,6,6,6,3,6,1,2,10,10,2,3,2,3,2,1,3,5,7,8,7,3,4,1,9,6,11,2,6,4,2,3,3,6,8,3,3,3,11,2,6,6,6,10,10,6,10,9,9,3,9,8,10,3,4,5,8,10,6,10,10,9,6,10,11,9,3,7,6,10,8,9,4,11,11,11,1,1,1,10,2,1,9,7,10,11,1,1,7,4,4,10,1,11,7,11,1,10,11,11,10,11,11,8,9,11,11,11,10,11,10,11,1,4,1,1,1,1,2,8,1,10,10,1,1,1,1,10,1,10,10,1,8,10,1,10,1,10,1,9,6,11,10,10,10,10,8,1,1,1,1,3,1,3,1,9,9,9,1,1,9,11,10,1,1,2,6,1,1,7,3,11,1,1,1,1,4,11,11,11,6,10,10,10,10,6,11,11,11,10,10,11,10,10,6,9,11,6,9,10,1,1,2,1,1,1,1,2,5,2,25,2,1,1.3,10,1.3,2,2,6,2,5,1,NA,NA,1514,"USA",NA,NA,NA
"131",2019-04-27 14:35:54,2019-04-27 14:40:30,0,21,276,0,2019-05-04 14:40:49,"R_3MF4tdPJwwLyI5C","anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,11,9,6,11,5,3,5,3,3,5,2,3,6,6,3,7,6,6,3,7,1,9,5,1,6,6,6,8,1,9,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,"USA",NA,NA,NA
"132",2019-04-27 20:57:54,2019-04-27 20:58:16,0,6,21,0,2019-05-04 20:58:20,"R_1GvTctoJr3b9wjr","anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA
"133",2019-04-27 20:22:41,2019-04-27 21:05:08,0,64,2547,0,2019-05-04 21:05:11,"R_3s4Vm8oZVU73Dky","anonymous","EN",1,1,1,8,1,3,1,6,6,1,6,3,1,11,6,1,3,9,6,6,11,1,3,1,9,1,1,11,6,6,9,9,6,11,11,11,3,6,3,3,7,6,9,9,6,8,5,9,6,6,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,1,6,1,1,1,6,1,6,1,6,6,3,1,6,11,6,1,6,6,6,11,1,1,11,6,11,3,6,1,6,6,1,7,11,6,1,1,6,1,6,1,4,1,8,6,4,1,6,1,6,1,9,1,1,1,1,10,1,6,1,1,8,1,6,1,1,11,8,2,9,6,6,6,1,3,1,3,9,3,6,9,1,1,6,1,6,6,1,3,6,6,9,6,6,6,9,9,3,1,6,3,6,3,6,6,6,9,1,1,1,3,6,6,3,6,3,6,1,1,1,1,6,1,1,6,1,1,9,6,9,9,9,6,9,6,9,6,9,6,9,9,6,9,6,9,9,9,6,9,6,1,1,1,6,3,3,1,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,"USA",NA,NA,NA
"134",2019-04-27 22:04:01,2019-04-27 22:04:33,0,6,31,0,2019-05-04 22:05:22,"R_wR8JQkK109E7L45","anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA
"135",2019-04-29 13:15:28,2019-04-29 13:19:51,0,21,263,0,2019-05-06 13:20:00,"R_1fefGALuVQXoqtc","anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,8,11,10,9,10,9,9,10,10,10,10,10,10,11,9,10,10,10,9,10,10,9,1,1,3,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,"USA",NA,NA,NA
"136",2019-04-29 15:00:42,2019-04-29 15:12:09,0,21,687,0,2019-05-06 15:12:48,"R_2pW91MfYDFVPyg1","anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,1,10,2,10,10,1,1,9,2,9,1,11,10,1,10,11,2,10,10,10,10,11,11,10,11,10,10,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,"USA",NA,NA,NA
"137",2019-04-29 15:40:16,2019-04-29 22:24:31,0,27,24255,0,2019-05-06 22:24:44,"R_2EbAOZw8SG4iDiO","anonymous","EN",1,1,6,5,7,3,6,11,7,6,8,6,3,7,3,1,1,5,4,6,1,1,6,3,2,4,9,1,3,9,11,6,11,11,11,9,6,6,4,5,7,6,6,1,6,8,8,10,5,4,8,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,"USA",NA,NA,NA
"138",2019-04-30 12:19:38,2019-04-30 13:56:34,0,64,5815,0,2019-05-07 13:56:48,"R_xlJBW2SCwqwBEpr","anonymous","EN",1,1,1,1,1,1,1,6,2,3,8,1,1,9,6,3,8,9,3,8,6,3,1,1,9,1,1,11,11,11,9,11,11,9,11,11,11,1,3,2,9,9,3,3,8,6,3,10,1,10,1,4,9,1,3,9,1,1,1,3,3,1,1,3,3,10,10,9,8,10,10,6,9,9,9,9,8,4,10,1,11,5,3,10,9,1,10,3,9,2,2,9,1,3,9,4,1,1,3,9,3,9,9,3,3,1,3,1,1,1,3,5,2,1,3,1,3,3,3,3,3,5,1,1,1,3,1,1,1,1,3,9,1,1,3,3,11,9,9,1,6,9,4,7,4,8,9,8,10,4,1,1,10,1,6,1,7,1,4,9,3,3,3,6,7,10,4,8,4,1,7,7,10,1,9,1,6,8,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,6,3,3,9,9,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,1,9,9,9,9,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912,"USA",NA,NA,NA
"139",2019-05-07 17:59:04,2019-05-07 18:44:08,0,100,2703,1,2019-05-07 18:44:09,"R_2XiHwttLDB4TsKI","anonymous","EN",1,1,3,3,3,4,3,2,5,2,6,6,4,6,6,6,5,5,3,4,5,1,7,8,5,6,5,6,6,9,8,5,9,8,9,5,8,4,3,4,6,7,6,3,8,3,2,10,5,11,1,2,6,4,6,8,3,6,3,4,4,4,6,5,4,8,9,9,9,10,10,3,3,3,3,3,6,6,8,3,4,5,1,8,6,4,7,4,7,5,6,9,1,4,6,2,2,4,6,5,2,4,2,6,2,3,3,6,3,5,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,9,3,2,8,3,11,8,7,8,3,11,3,4,6,7,6,6,9,2,4,11,4,6,10,10,2,4,2,2,6,1,1,3,2,3,2,2,1,1,1,3,10,6,8,6,6,10,9,1,3,9,1,2,2,9,8,9,1,8,1,2,4,1,1,5,2,10,3,6,3,2,3,2,2,3,2,6,10,9,9,9,6,8,8,10,3,3,2,2,6,9,8,2,2,3,2,6,2,1,6,2,6,2,1,6,2,1,2,1,3,6,1,3,1,1,3,1,3,2,2,2,2,3,3,2,2,3,2,1,1,2,3,10,9,9,10,2,9,10,8,55,2,2,5,8,18.9,4,1,2,2,2,2,NA,NA,1120,"USA",NA,NA,NA
"140",2019-05-29 06:57:37,2019-05-29 07:17:49,0,39,1211,0,2019-06-05 07:18:00,"R_1MRGXuz6aQxoNX3","anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,4,6,3,1,2,1,6,6,3,6,5,1,8,1,5,11,4,1,5,7,8,10,3,1,11,11,11,1,1,1,9,8,1,8,8,7,6,1,8,2,1,6,11,1,11,3,5,1,11,11,8,8,11,8,10,11,11,8,10,6,7,4,8,1,1,1,1,1,1,1,4,1,9,9,1,5,1,1,3,1,9,9,1,3,9,1,6,1,5,1,11,9,10,9,9,9,9,6,1,1,1,1,1,1,1,7,8,11,7,1,1,6,9,10,2,1,2,10,5,1,1,4,7,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,"USA",NA,NA,NA
"141",2019-05-29 21:49:08,2019-05-29 21:50:51,0,12,103,0,2019-06-05 21:51:21,"R_zc0R7OBy6hCKgAp","anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA
