"","x"
"SWMSS_6"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor helps me to get the job done."
"SWMSS_7"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor gives me credit to my ideas."
"SWMSS_8"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor gives me clear instructions."
"SWMSS_9"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor informs me about work changes ahead of time."
"SWMSS_10"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor follows through to get problems solved."
"SWMSS_11"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor understands the problems I might run into doing the job."
"SWMSS_12"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The way my supervisor show concern for my career progress."
"SWMSS_13"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) My supervisor's backing me up with other management."
"SWMSS_14"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The frequency with which I get a pat on the back for doing  good job."
"SWMSS_15"," Indicate your response to each statement by using the following 0-10 scale:  0 (very dissatisfied)10 (very satisfied) The technical competence of my supervisor."
"Incivility_1"," During the past month, have you been in a situation where your supervisor: put you down or was condescending to you?"
"Incivility_2"," During the past month, have you been in a situation where your supervisor: paid little attention to your statement or show little interest in your opinion?"
"Incivility_3"," During the past month, have you been in a situation where your supervisor: made demeaning or derogatory remarks about you?"
"Incivility_4"," During the past month, have you been in a situation where your supervisor: addressed you in unprofessional terms, either publicly or privately?"
"Incivility_5"," During the past month, have you been in a situation where your supervisor: ignored or excluded you from professional camaraderie?"
"Incivility_6"," During the past month, have you been in a situation where your supervisor: doubted your judgment on a matter over which you have responsibility?"
"Incivility_7"," During the past month, have you been in a situation where your supervisor: made unwanted attempts to draw you into a discussion of personal matter?"
"Respect_1","shows interest in me, has a positive attitude, is willing to spend time with me."
"Respect_2","does not respect my views and opinions; insists on his/her own wishes."
"Respect_3","is helpful, supportive, present when needed; tries to fulfill my needs"
"Respect_4","is sensitive and considerate to my feelings."
"Respect_5","does not have admirable or respect-worthy talents, abilities, accomplishments."
"Respect_6","does not accept me."
"Respect_7","is not nice, kind, considerate."
"Respect_8","is not open and receptive."
"Respect_9","fosters good, open, two-way communication."
"Respect_10","is not honest and truthful."
"Respect_11","fosters mutuality and equality."
"Respect_12","is caring, compassionate."
"Respect_13","does not have admirable or respect worthy moral qualities (such as dignity, humility, self-control, good judgment, dedication)."
"Respect_14","calms me, puts me at ease, makes me feel comfortable."
"Respect_15","follows the Golden Rule (treats others as others wish to be treated, or as the person him/herself would like to be treated)."
"Respect_16","is cruel or hurtful."
"Respect_17","is concerned, protecting."
"Respect_18","is not committed to me."
"Respect_19","is someone I look up to, am proud of, believe in."
"Respect_20","is not understanding and emphatic."
"PRI_1","really listened to me"
"PRI_2","seemed interested in what I was thinking and feeling"
"PRI_3","was understanding"
"PRI_4","tried to see where I was coming from"
"PRI_5","was attentive to my needs"
"PRI_6","was responsive to my needs"
"PRI_7","took my concerns seriously"
"PRI_8","really got my point of view"
"PRI_9","did NOT accept my feelings and concerns"
"PRI_10","ignored my side of the story"
"PRI_11","dismissed my concerns too easily"
"PRI_12","seemed to ignore the things that were most important to me"
"PRI_13","did NOT really understand my wants and needs"
"PRI_14","did NOT really take my concerns seriously"
"PRI_15","often really did NOT hear what I was saying"
"PRI_16","When I was feeling worried or stressed about something, it only made things worse to tell my supervisor about it"
"Autonomy_Support_1","gives me many opportunities to make decisions in my work."
"Autonomy_Support_2","When my supervisor asks me to do something, s/he explains why s/he want me to do it."
"Autonomy_Support_3","is open to my opinions and my point of view regarding work even when they are different from his/hers."
"Autonomy_Support_4","At times, my supervisor threatens to take away various privileges in order to pressure me into doing things differently."
"Autonomy_Support_5","When my supervisor promises me rewards, it is to manipulate me."
"Autonomy_Support_6","Within certain limits, my supervisor gives me the freedom to choose how and when I will execute my tasks."
"Autonomy_Support_7","I usually understand why my supervisor ask me to do or not to do something."
"Autonomy_Support_8","take the time to listen to my opinion and my point of view when I disagree with them."
"Autonomy_Support_9","do not take the time to ask me to do something, s/he order me to do it."
"Autonomy_Support_10","tries to make me feel bad when s/he is not satisfied with my work."
"Autonomy_Support_11","gives me orders constantly."
"Autonomy_Support_12","When I ask why I must complete a task, my supervisor gives me good reasons."
"Autonomy_Support_13","has an authoritarian tone of voice when s/he tells me which tasks I have to do."
"Autonomy_Support_14","As soon as things don’t go exactly as s/he wishes, my supervisor threatens to make my life difficult."
"Autonomy_Support_15","When my supervisor offers me a reward, I have the unpleasant feeling that I owe her/him something in return."
"Autonomy_Support_16","consults with me to find out what modifications I would like to make to my work."
"Autonomy_Support_17","understand that at times the things that I have to do are not pleasant."
"Autonomy_Support_18","tries to motivate me by making me feel guilty for not doing enough."
"Autonomy_Support_19","At times, my supervisor intimidates or blackmails me in order to make me do certain tasks."
"Autonomy_Support_20","When I get a reward from my supervisor, I know that I will have to work even harder in return."
"Autonomy_Support_21","make me feel guilty when I have not had time to finish a task."
"Humility_1","actively seeks feedback, even if it is critical"
"Humility_2","admits it when they don’t know how to do something"
"Humility_3","acknowledges when others have more knowledge and skills than himor herself"
"Humility_4","takes notice of others’ strengths"
"Humility_5","often compliments others on their strengths"
"Humility_6","shows appreciation for the unique contributions of others"
"Humility_7","is willing to learn from others"
"Humility_8","is open to the ideas of others"
"Humility_9","is open to the advice of others"
"Listening_1","shows great interest in what I say"
"Listening_2","makes me feel secure"
"Listening_3","demonstrates a desire to listen to the things I say"
"Listening_4","creates a good relationship"
"Listening_5","gives a sense of acceptance"
"FLS_1","tries hard to understand what I am saying"
"FLS_2","asks questions that show his/her understanding of my opinions"
"FLS_3","encourages me to clarify myself"
"FLS_4","expresses interest in my stories"
"FLS_5","listens to me attentively"
"FLS_6","pays close attention to what I say"
"FLS_7","gives me time and space to talk"
"FLS_8","gives me his/her undivided attention"
"FLS_9","creates a positive atmosphere for me to talk"
"FLS_10","allows me to express myself fully"
"FLS_11","talks offensively"
"FLS_12","criticizes my feelings"
"FLS_13","frowns (showing disapproving facial expressions)"
"FLS_14","discounts or explains away my feelings"
"FLS_15","is not willing to listen to me"
"FLS_16","does not pay attention to things I say"
"FLS_17","talks back to me aggressively"
"FLS_18","becomes irritated"
"FLS_19","is impatient"
"FLS_20","gets tense"
"Age","Please insert
your age: Click to write Choice 1"
"gender","Gender"
"supervisorGender","Your supervisor
gender"
"yearsWithBoss","How many
years do you and your supervisor work together? Years"
"occupation","Please indicate your occupation:"
"yearsProfessionalExperience","How many years do you work in that profession overall? Years"
"tenure","Which of the following best describes your tenure in your current role?"
"SWL_1","In most ways my life is close to my ideal."
"SWL_2","The conditions of my life are excellent"
"SWL_3","I am satisfied with my life"
"SWL_4","So far I have gotten the important things I want in life"
"SWL_5","If I could live my life over, I would change almost nothing"
"credit","Are you interested in credit
points for participating in this survey (Hebrew University only)?"
"id","text message constant 1"
"SC0","Score"
"Source",""
"Hebrew/English","Browser Meta Info"
"ID","text message constant 2"
"consent","In the past month,"
